Unnamed: 0,ID,Trial,num_option,compliance,context_0,context_1,context_2,context_3,context_4,context_5,context_6,context_7,context_8,context_9,context_10,context_11,context_12,context_13,context_14,context_15,context_16,context_17,context_18,context_19,context_20,context_21,context_22,context_23,context_24,context_25,context_26,context_27,context_28,context_29
0,0,0,2,1,"[0.3237979706240348, -0.2009414378098077, 0.044884452057556354, 0.004675632997974111]","[0.33858327751606054, -0.19299618078881875, 0.016397660102737757, -0.008517458147849948]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,15,14,"[0.3237979706240349, -0.20094143780980772, 0.04488445205755629, 0.004675632997973775]","[0.3385832775160604, -0.1929961807888187, 0.0163976601027378, -0.00851745814784972]","[0.11228399143391175, 0.2991799457810169, 0.32214915834576563, -0.09158997649563955]","[0.11228399143391171, 0.299179945781017, 0.32214915834576574, -0.09158997649563862]","[0.10621208567800787, 0.29511328802338943, 0.33291906767085483, -0.08717613921883878]","[0.10621208567800793, 0.2951132880233895, 0.33291906767085483, -0.08717613921883904]","[0.11228399143391171, 0.299179945781017, 0.3221491583457659, -0.09158997649563837]","[0.10974860486364488, 0.2657539482144082, -0.25742867105936257, -0.18053355186132716]","[-0.28426327664726514, -0.07349254730037118, 0.022201487803102764, 0.005397040753428023]","[0.11228399143391171, 0.299179945781017, 0.32214915834576574, -0.09158997649563913]","[0.3385832775160603, -0.19299618078881872, 0.016397660102737712, -0.008517458147850387]","[-0.2753997244944431, -0.062147966036098165, -0.009489521649940798, -0.008711170514394967]","[0.1122839914339117, 0.299179945781017, 0.3221491583457658, -0.09158997649563852]","[0.11228399143391177, 0.299179945781017, 0.3221491583457657, -0.09158997649563964]","[0.11228399143391173, 0.299179945781017, 0.32214915834576574, -0.0915899764956394]",,,,,,,,,,,,,,,
2,0,2,2,1,"[0.32379797062403487, -0.20094143780980764, 0.04488445205755641, 0.0046756329979748355]","[0.3385832775160604, -0.19299618078881872, 0.016397660102737743, -0.008517458147850057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,2,1,"[0.323797970624035, -0.20094143780980772, 0.04488445205755632, 0.0046756329979741156]","[0.33858327751606043, -0.1929961807888187, 0.016397660102737698, -0.008517458147850437]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4,2,1,"[0.13039003136656208, 0.32279503002024995, 0.26363985864447675, -0.10342650124640265]","[0.11228399143391181, 0.299179945781017, 0.3221491583457657, -0.09158997649563956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,5,2,1,"[-0.284873175486858, -0.0745572216931936, 0.036034470865466364, 0.01051428814898649]","[-0.2808476230134266, -0.06550468328687023, 0.0048428312172948415, -0.003982117680489764]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,2,1,"[0.32379797062403487, -0.20094143780980772, 0.044884452057556236, 0.004675632997973527]","[0.33858327751606054, -0.19299618078881872, 0.01639766010273771, -0.008517458147850293]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,7,2,1,"[-0.28487317548685787, -0.07455722169319356, 0.036034470865466454, 0.010514288148987203]","[-0.2808476230134267, -0.06550468328687016, 0.004842831217294943, -0.003982117680489094]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8,2,1,"[0.32379797062403487, -0.20094143780980767, 0.044884452057556284, 0.004675632997974063]","[0.33858327751606043, -0.1929961807888187, 0.016397660102737785, -0.008517458147849724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,9,2,1,"[0.13039003136656221, 0.32279503002025006, 0.26363985864447675, -0.1034265012464019]","[0.11228399143391175, 0.299179945781017, 0.32214915834576574, -0.09158997649563971]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,2,1,"[0.1303900313665621, 0.32279503002024995, 0.2636398586444768, -0.10342650124640257]","[0.11228399143391166, 0.2991799457810169, 0.32214915834576574, -0.09158997649563969]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,2,1,"[0.3237979706240348, -0.2009414378098077, 0.04488445205755628, 0.004675632997974051]","[0.33858327751606043, -0.19299618078881872, 0.01639766010273776, -0.008517458147850043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12,2,1,"[0.323797970624035, -0.2009414378098077, 0.0448844520575563, 0.0046756329979740115]","[0.3385832775160605, -0.19299618078881872, 0.016397660102737723, -0.008517458147850194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,13,2,1,"[0.1303900313665621, 0.32279503002024995, 0.26363985864447675, -0.10342650124640275]","[0.1122839914339117, 0.299179945781017, 0.32214915834576574, -0.09158997649563864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,14,3,2,"[0.13039003136656221, 0.32279503002024995, 0.26363985864447664, -0.103426501246403]","[0.11228399143391177, 0.299179945781017, 0.3221491583457659, -0.09158997649563849]","[0.3385832775160605, -0.19299618078881875, 0.0163976601027377, -0.00851745814785037]",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,15,2,1,"[0.1303900313665621, 0.32279503002024995, 0.2636398586444768, -0.103426501246402]","[0.11228399143391166, 0.2991799457810169, 0.32214915834576574, -0.09158997649563932]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,16,2,1,"[0.3237979706240349, -0.20094143780980767, 0.04488445205755633, 0.004675632997974322]","[0.33858327751606043, -0.19299618078881872, 0.016397660102737723, -0.008517458147850198]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,17,2,1,"[-0.2848731754868579, -0.07455722169319363, 0.03603447086546633, 0.010514288148986322]","[-0.2842632766472651, -0.0734925473003712, 0.022201487803102642, 0.005397040753426685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,18,10,9,"[0.13039003136656216, 0.32279503002025, 0.2636398586444768, -0.10342650124640206]","[0.10621208567800797, 0.29511328802338954, 0.3329190676708549, -0.08717613921883813]","[0.11228399143391167, 0.299179945781017, 0.3221491583457659, -0.0915899764956384]","[0.1122839914339117, 0.2991799457810169, 0.32214915834576574, -0.09158997649563909]","[0.11228399143391175, 0.299179945781017, 0.3221491583457657, -0.09158997649563971]","[0.11228399143391175, 0.299179945781017, 0.32214915834576574, -0.09158997649563905]","[0.1122839914339117, 0.299179945781017, 0.3221491583457658, -0.09158997649563883]","[0.10621208567800788, 0.2951132880233895, 0.3329190676708549, -0.08717613921883875]","[0.1122839914339116, 0.2991799457810169, 0.3221491583457658, -0.09158997649563864]","[0.11228399143391177, 0.299179945781017, 0.32214915834576585, -0.09158997649563848]",,,,,,,,,,,,,,,,,,,,
19,0,19,8,7,"[0.3237979706240347, -0.20094143780980772, 0.04488445205755637, 0.004675632997974196]","[0.3385832775160606, -0.19299618078881867, 0.01639766010273783, -0.008517458147849374]","[0.11228399143391164, 0.29917994578101686, 0.3221491583457658, -0.09158997649563948]","[0.10621208567800797, 0.2951132880233896, 0.3329190676708549, -0.08717613921883817]","[0.10974860486364481, 0.26575394821440823, -0.25742867105936246, -0.18053355186132575]","[0.11228399143391166, 0.2991799457810169, 0.32214915834576574, -0.09158997649563917]","[-0.275399724494443, -0.06214796603609815, -0.009489521649940812, -0.00871117051439507]","[0.11228399143391166, 0.299179945781017, 0.3221491583457659, -0.0915899764956384]",,,,,,,,,,,,,,,,,,,,,,
20,0,20,2,1,"[0.323797970624035, -0.2009414378098077, 0.04488445205755623, 0.004675632997973855]","[0.3385832775160605, -0.19299618078881872, 0.016397660102737736, -0.008517458147850059]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,21,2,1,"[0.1303900313665621, 0.32279503002025, 0.2636398586444768, -0.10342650124640233]","[0.11228399143391166, 0.2991799457810169, 0.32214915834576574, -0.09158997649563945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,22,2,1,"[0.13039003136656221, 0.32279503002025006, 0.2636398586444768, -0.1034265012464024]","[0.1122839914339117, 0.299179945781017, 0.32214915834576574, -0.09158997649563923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,23,2,1,"[0.3237979706240349, -0.20094143780980772, 0.044884452057556264, 0.004675632997973624]","[0.3385832775160603, -0.19299618078881872, 0.01639766010273785, -0.008517458147849212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,24,2,1,"[-0.2848731754868579, -0.0745572216931936, 0.036034470865466316, 0.010514288148986795]","[-0.28084762301342675, -0.06550468328687017, 0.00484283121729497, -0.003982117680489048]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
