Unnamed: 0,ID,Trial,num_option,compliance,context_0,context_1,context_2,context_3,context_4,context_5,context_6,context_7,context_8,context_9,context_10,context_11,context_12,context_13,context_14,context_15,context_16,context_17,context_18,context_19,context_20,context_21,context_22,context_23,context_24,context_25,context_26,context_27,context_28,context_29
407,0,0,3,2,"[0.34363268946711056, -0.17495352756854154, -0.012157850629340416, -0.009234319352364967, 0.0006404054576493751, -0.1392572934579136]","[0.33121100093666195, -0.19471571386386927, 0.029138983537148215, -0.004231011517017097, 0.07171008191433731, -0.027832639959350727]","[0.3576112345148873, -0.15840561058778238, -0.05165876821879749, -0.025040338611124757, -0.16546211388967771, 0.010165443156840214]",,,,,,,,,,,,,,,,,,,,,,,,,,,
408,0,1,2,1,"[0.35761123451488736, -0.15840561058778216, -0.05165876821879749, -0.025040338611124764, -0.16546211388967766, 0.010165443156840197]","[0.33858327751606027, -0.19299618078881897, 0.016397660102737664, -0.008517458147849512, 0.011712715293034979, 0.03331615492051187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,0,2,2,1,"[-0.293996396658307, -0.0899470096002315, 0.0649512489796781, 0.011417132003895703, 0.16135490286810578, 0.044639340502846486]","[-0.280847623013427, -0.06550468328687001, 0.004842831217294624, -0.0039821176804892364, 0.023353383275915178, -0.0426450154119332]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0,3,5,4,"[0.08572272214239804, 0.2019382520623318, -0.016134854254556477, 0.40126402956445234, 0.19524074711339937, -0.075388696726758]","[0.10350437903825556, 0.22018540690038202, -0.05725824285622105, 0.3961124185844178, 0.029583318489640104, 0.06463344993456105]","[0.09746625228855507, 0.21648575268352566, -0.04466241651237505, 0.39841440615359786, 0.08762731294333784, 0.005149832329269163]","[0.1170885950336252, 0.2378830597434959, -0.09699987359606248, 0.3913164296948861, -0.03709796370257884, -0.03961565592941858]","[0.09746625228855497, 0.21648575268352566, -0.04466241651237504, 0.39841440615359774, 0.08762731294333787, 0.005149832329269214]",,,,,,,,,,,,,,,,,,,,,,,,,
411,0,4,2,1,"[0.07756865464200352, 0.22444352337411363, -0.1645736407677642, -0.14806824382098976, 0.3887288586389077, 0.05689480351869864]","[0.10374770059909476, 0.2621474996404581, -0.24448159498362002, -0.1760938188048456, 0.2225811130532527, 0.033353813260217816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,0,5,2,1,"[0.3385832775160602, -0.19299618078881894, 0.01639766010273768, -0.008517458147849495, 0.011712715293034965, 0.033316154920511945]","[-0.25752157213367405, -0.0468210148392759, -0.040171069593884154, -0.021422137304301966, -0.1621268249627718, 0.11433024123026686]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,0,6,2,1,"[0.3052852107080189, -0.2133881201221445, 0.08531086507588893, 0.010247544646711265, 0.1968326209127796, 0.060299505068710006]","[-0.27539972449444317, -0.06214796603609802, -0.009489521649940937, -0.008711170514396438, -0.04232532378561835, 0.021573182974279848]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,0,7,2,1,"[0.3576112345148873, -0.15840561058778221, -0.05165876821879751, -0.02504033861112472, -0.16546211388967766, 0.010165443156840332]","[0.3385832775160602, -0.19299618078881892, 0.016397660102737625, -0.008517458147849613, 0.01171271529303502, 0.03331615492051152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,0,8,2,1,"[-0.25720739231954703, -0.04159454810042739, -0.052226566431870694, -0.014031552960138565, -0.11816706199507734, -0.09124716295390412]","[-0.2753997244944432, -0.06214796603609803, -0.009489521649940923, -0.008711170514396379, -0.042325323785618374, 0.021573182974280115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,0,9,2,1,"[0.13319835605570174, 0.2925015421081339, -0.32040988345494176, -0.1949965979520997, -0.005931254885195072, 0.07140470450058004]","[0.10374770059909479, 0.26214749964045797, -0.24448159498362, -0.1760938188048456, 0.22258111305325273, 0.03335381326021786]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,0,10,2,1,"[-0.2572073923195471, -0.041594548100427405, -0.052226566431870715, -0.014031552960138636, -0.11816706199507732, -0.0912471629539043]","[-0.27539972449444317, -0.06214796603609799, -0.009489521649940928, -0.008711170514396462, -0.04232532378561835, 0.02157318297427981]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,0,11,4,3,"[0.35761123451488747, -0.1584056105877823, -0.05165876821879752, -0.025040338611124705, -0.1654621138896778, 0.010165443156840348]","[0.3542373683334333, -0.16803629660343875, -0.03673868462257791, -0.016878384749342806, -0.11508169141087625, -0.01618589887181371]","[0.30528521070801906, -0.2133881201221445, 0.08531086507588886, 0.01024754464671119, 0.1968326209127796, 0.06029950506870962]","[0.35761123451488736, -0.15840561058778224, -0.051658768218797564, -0.025040338611124806, -0.16546211388967766, 0.010165443156840065]",,,,,,,,,,,,,,,,,,,,,,,,,,
419,0,12,4,3,"[0.35761123451488736, -0.15840561058778224, -0.05165876821879748, -0.02504033861112474, -0.16546211388967763, 0.010165443156840146]","[0.3542373683334333, -0.1680362966034387, -0.03673868462257791, -0.016878384749342824, -0.11508169141087625, -0.016185898871813834]","[0.305285210708019, -0.2133881201221445, 0.08531086507588892, 0.01024754464671119, 0.1968326209127796, 0.060299505068709756]","[0.3576112345148873, -0.1584056105877822, -0.05165876821879752, -0.02504033861112479, -0.1654621138896777, 0.010165443156840087]",,,,,,,,,,,,,,,,,,,,,,,,,,
420,0,13,2,1,"[0.1331983560557018, 0.29250154210813395, -0.3204098834549417, -0.1949965979520997, -0.005931254885195075, 0.07140470450058005]","[0.1282753251507386, 0.2917788666429733, -0.3122101631213392, -0.19392809462234717, 0.0490236466605341, 0.012982044296592705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,0,14,2,1,"[0.1331983560557018, 0.2925015421081339, -0.32040988345494176, -0.19499659795209975, -0.005931254885195024, 0.07140470450057979]","[0.11996452939549596, 0.2746593174989868, -0.2808112525478658, -0.18957852096194489, 0.05710746050759141, 0.17397589127187033]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,0,15,2,1,"[0.13319835605570185, 0.29250154210813395, -0.32040988345494176, -0.19499659795209975, -0.005931254885195061, 0.07140470450057976]","[0.12347652176134911, 0.28415391795761397, -0.29834026540741343, -0.18615928184941624, 0.09900751496644697, -0.012623481176329715]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,0,16,2,1,"[0.13319835605570174, 0.2925015421081339, -0.3204098834549417, -0.19499659795209964, -0.005931254885195059, 0.07140470450058009]","[0.12247457741860335, 0.2883325034260925, -0.2995081717488452, -0.18964242247196375, 0.1049638376895485, -0.04499332668663931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,0,17,2,1,"[0.1331983560557018, 0.292501542108134, -0.32040988345494176, -0.19499659795209975, -0.005931254885195056, 0.07140470450057973]","[0.10374770059909476, 0.26214749964045797, -0.24448159498362, -0.17609381880484568, 0.22258111305325273, 0.033353813260217795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
