,EWC_0,EWC_1,EWC_2,EWC_3,EWC_4
0,0,0,0,0,0
1,0,1,0,0,0
2,0,2,1,0,0
3,1,2,1,0,0
4,1,2,1,0,0
5,1,3,1,1,0
6,2,3,1,2,0
7,2,3,1,2,0
8,2,3,2,2,0
9,2,3,2,3,0
10,3,4,3,4,0
11,3,4,3,5,0
12,3,4,4,5,0
13,3,4,4,6,0
14,3,4,4,6,1
15,3,4,4,6,1
16,3,4,4,7,1
17,3,4,4,7,2
18,3,4,4,7,2
19,3,4,4,7,2
20,3,5,4,8,2
21,3,6,5,8,2
22,4,6,6,8,2
23,4,6,6,8,2
24,4,6,6,9,2
25,4,6,6,9,2
26,4,6,7,9,2
27,4,7,7,9,3
28,4,7,7,9,4
29,4,7,8,9,5
30,4,7,8,9,5
31,5,7,8,9,5
32,5,7,8,10,5
33,5,7,8,10,6
34,5,8,9,10,6
35,6,8,9,10,6
36,6,8,9,10,7
37,6,8,9,10,8
38,6,8,9,10,8
39,7,8,9,10,9
40,7,8,9,10,10
41,7,8,9,11,11
42,7,8,9,11,11
43,7,8,10,11,12
44,7,8,10,12,12
45,8,8,10,12,12
46,8,9,10,12,12
47,8,9,10,12,12
48,8,10,10,13,12
49,8,10,11,13,12
50,9,10,11,13,12
51,9,10,11,13,12
52,9,10,11,13,13
53,10,10,11,13,13
54,10,11,12,13,13
55,10,11,12,13,13
56,10,12,12,13,13
57,11,12,12,13,14
58,11,13,13,13,14
59,11,13,13,14,14
60,11,14,14,14,14
61,11,14,14,14,14
62,12,14,14,14,14
63,12,14,15,14,15
64,12,14,15,15,16
65,12,14,15,15,16
66,12,14,16,15,17
67,12,14,16,15,18
68,12,14,16,16,18
69,12,15,16,17,18
70,12,15,16,17,18
71,12,15,16,18,18
72,12,15,16,18,18
73,12,16,16,18,19
74,12,16,16,18,19
75,12,16,16,18,19
76,12,16,16,18,19
77,12,16,16,19,20
78,13,16,17,20,20
79,14,16,17,21,20
80,14,16,17,21,20
81,14,17,17,21,20
82,15,17,17,22,20
83,15,17,17,22,20
84,15,17,17,22,20
85,15,17,17,22,20
86,15,17,17,22,20
87,16,17,17,22,20
88,16,17,17,22,20
89,16,18,17,22,21
90,17,18,17,22,21
91,17,18,17,22,21
92,18,18,17,22,21
93,18,18,17,22,22
94,19,18,18,23,22
95,19,18,19,24,22
96,19,18,19,24,22
97,19,18,19,24,22
98,20,19,19,24,22
99,20,19,19,24,22
100,20,20,19,25,22
101,20,20,19,25,22
102,20,20,19,25,22
103,20,21,19,25,22
104,20,21,19,25,23
105,20,21,19,25,23
