,LinUCB_0,EWC_0,EWC_NO_NONCOMPLIANCE_0,ORA_CLU_0,ORA_THETA_0,XGBoost_0,linear model_0,DynUCB_0,EWC_NO_USER_CONTEXT_CLU_0,ONLY_USER_CONTEXT_0
0,0,0,0,0,0,0.0,0.0,0,0,0
1,1,0,0,0,0,1.0,1.0,1,0,0
2,1,1,0,0,0,2.0,2.0,1,0,1
3,2,1,0,0,0,2.0,3.0,2,0,1
4,3,1,0,1,0,2.0,4.0,3,0,1
5,3,1,0,1,0,3.0,5.0,3,0,1
6,3,1,1,1,0,3.0,5.0,3,1,1
7,3,1,2,1,0,4.0,6.0,3,1,1
8,3,1,2,1,0,5.0,7.0,3,1,1
9,3,2,3,1,0,5.0,7.0,3,2,2
10,3,2,4,1,0,5.0,7.0,3,2,2
11,3,3,5,1,0,5.0,7.0,3,2,3
12,3,3,5,1,0,6.0,7.0,3,3,3
13,4,3,5,1,0,7.0,8.0,4,3,3
14,4,3,6,1,0,8.0,8.0,4,4,3
15,4,3,6,1,0,9.0,9.0,4,5,3
16,4,4,7,1,0,9.0,9.0,4,6,4
17,5,5,7,1,0,10.0,10.0,5,6,5
18,5,5,7,1,0,11.0,11.0,5,7,5
19,6,5,7,1,0,11.0,12.0,6,7,5
20,7,5,7,1,0,12.0,13.0,7,7,5
21,7,5,7,1,0,13.0,14.0,7,8,5
22,8,6,7,1,0,14.0,15.0,8,8,6
23,8,6,7,1,0,15.0,16.0,8,9,6
24,8,7,7,1,0,15.0,17.0,8,10,7
25,9,8,8,1,0,15.0,18.0,9,10,8
26,9,8,9,1,0,15.0,18.0,9,11,8
27,10,9,9,1,0,16.0,19.0,10,12,9
28,11,9,9,1,0,17.0,20.0,11,13,9
29,12,10,10,1,0,17.0,21.0,12,14,10
30,12,10,11,1,0,18.0,22.0,12,15,10
31,13,10,11,1,0,19.0,23.0,13,15,10
32,13,10,11,1,0,20.0,24.0,13,15,10
33,13,10,11,1,0,20.0,25.0,13,16,10
34,13,10,11,1,0,20.0,26.0,13,16,10
35,14,11,12,1,0,21.0,27.0,14,17,11
36,15,11,12,1,0,21.0,28.0,15,18,11
37,15,11,12,1,0,22.0,29.0,15,18,11
38,16,11,12,1,0,23.0,30.0,16,18,11
39,17,12,12,1,0,24.0,31.0,17,18,12
40,18,13,12,1,0,24.0,31.0,18,18,13
41,19,13,12,1,0,25.0,32.0,19,18,13
42,20,14,13,1,0,25.0,32.0,20,18,14
43,21,15,13,1,1,26.0,33.0,21,18,15
44,21,15,13,1,1,27.0,33.0,21,19,15
45,21,15,13,1,1,28.0,34.0,21,20,15
46,22,16,14,1,1,29.0,34.0,22,21,16
47,23,16,14,1,1,29.0,35.0,23,21,16
48,23,16,14,1,1,30.0,36.0,23,22,16
49,23,16,14,1,1,31.0,36.0,23,23,16
50,24,17,15,1,1,31.0,36.0,24,24,17
51,25,18,16,1,1,31.0,37.0,25,25,18
52,26,19,16,1,1,31.0,37.0,26,25,19
53,26,19,16,1,1,32.0,38.0,26,26,19
