,Age_18 - 34,Age_35 - 49,Age_50 - 64,Gender_Male,Education_Bachelor's degree,Education_High school diploma or equivalent,Education_Master's degree or higher,num_cars_One car,w_TT,w_CO2,w_Rec,TT_00,TT_01,CO2_00,CO2_01,Rec_0,compliance_0,TT_10,TT_11,CO2_10,CO2_11,Rec_1,compliance_1,TT_20,TT_21,CO2_20,CO2_21,Rec_2,compliance_2,TT_30,TT_31,CO2_30,CO2_31,Rec_3,compliance_3,TT_40,TT_41,CO2_40,CO2_41,Rec_4,compliance_4,TT_50,TT_51,CO2_50,CO2_51,Rec_5,compliance_5,TT_60,TT_61,CO2_60,CO2_61,Rec_6,compliance_6,TT_70,TT_71,CO2_70,CO2_71,Rec_7,compliance_7,TT_80,TT_81,CO2_80,CO2_81,Rec_8,compliance_8,TT_90,TT_91,CO2_90,CO2_91,Rec_9,compliance_9,TT_100,TT_101,CO2_100,CO2_101,Rec_10,compliance_10,TT_110,TT_111,CO2_110,CO2_111,Rec_11,compliance_11,TT_120,TT_121,CO2_120,CO2_121,Rec_12,compliance_12,TT_130,TT_131,CO2_130,CO2_131,Rec_13,compliance_13,TT_140,TT_141,CO2_140,CO2_141,Rec_14,compliance_14,TT_150,TT_151,CO2_150,CO2_151,Rec_15,compliance_15,TT_160,TT_161,CO2_160,CO2_161,Rec_16,compliance_16,TT_170,TT_171,CO2_170,CO2_171,Rec_17,compliance_17,TT_180,TT_181,CO2_180,CO2_181,Rec_18,compliance_18,TT_190,TT_191,CO2_190,CO2_191,Rec_19,compliance_19,TT_200,TT_201,CO2_200,CO2_201,Rec_20,compliance_20,TT_210,TT_211,CO2_210,CO2_211,Rec_21,compliance_21,TT_220,TT_221,CO2_220,CO2_221,Rec_22,compliance_22,TT_230,TT_231,CO2_230,CO2_231,Rec_23,compliance_23,TT_240,TT_241,CO2_240,CO2_241,Rec_24,compliance_24,TT_250,TT_251,CO2_250,CO2_251,Rec_25,compliance_25,TT_260,TT_261,CO2_260,CO2_261,Rec_26,compliance_26,TT_270,TT_271,CO2_270,CO2_271,Rec_27,compliance_27,TT_280,TT_281,CO2_280,CO2_281,Rec_28,compliance_28,TT_290,TT_291,CO2_290,CO2_291,Rec_29,compliance_29,TT_300,TT_301,CO2_300,CO2_301,Rec_30,compliance_30,TT_310,TT_311,CO2_310,CO2_311,Rec_31,compliance_31,TT_320,TT_321,CO2_320,CO2_321,Rec_32,compliance_32,TT_330,TT_331,CO2_330,CO2_331,Rec_33,compliance_33,TT_340,TT_341,CO2_340,CO2_341,Rec_34,compliance_34,TT_350,TT_351,CO2_350,CO2_351,Rec_35,compliance_35,TT_360,TT_361,CO2_360,CO2_361,Rec_36,compliance_36,TT_370,TT_371,CO2_370,CO2_371,Rec_37,compliance_37,TT_380,TT_381,CO2_380,CO2_381,Rec_38,compliance_38,TT_390,TT_391,CO2_390,CO2_391,Rec_39,compliance_39
0,1,0,0,0,1,0,0,1,0.009232362550415416,-0.02133995232451677,0.0,100,97.94248202725042,100,90.98972695669684,1,1,100,104.08902223562299,100,91.69514017297047,0,1,100,111.38267423474099,100,88.62993063457222,0,1,100,107.77993233335478,100,100.88905942144592,0,1,100,101.58436243040963,100,93.82306835048588,1,1,100,106.94494128960665,100,89.58999851827201,0,1,100,105.82443097841927,100,99.1247804331303,0,1,100,114.93866181311881,100,89.5691974502363,1,1,100,105.39341710774586,100,93.25043431626898,0,1,100,100.77569436559178,100,91.82831950262938,0,1,100,98.59267977353953,100,87.99275056779021,0,1,100,109.82519566322298,100,88.36410340141798,1,1,100,107.15569613500274,100,95.22992236379493,1,1,100,102.68034662829344,100,86.45862687469219,0,1,100,109.61445742690921,100,97.1102883376261,0,1,100,98.54800058867879,100,92.37564361658056,1,1,100,99.8442920164702,100,96.79177839405098,1,1,100,102.00919553302596,100,91.50261181549622,0,1,100,106.77752936511139,100,97.93459340544648,1,1,100,114.0163426634899,100,94.35767636267228,0,1,100,113.02666025337948,100,95.55421591218162,0,1,100,97.05924632787742,100,91.58429699825965,0,1,100,100.22577279785355,100,92.92795888181958,1,1,100,105.45559040967986,100,93.04094160404152,0,1,100,113.86506188557347,100,93.04466748487799,1,1,100,104.70234042899934,100,92.23844879862068,1,1,100,103.8073794574818,100,89.80325833014498,0,1,100,104.2039347786601,100,88.83289336800132,1,1,100,100.79514404746554,100,82.98242229575816,1,1,100,97.73588101406166,100,89.01676537040274,1,1,100,104.2795835353745,100,92.83201512285866,0,1,100,101.54354144663932,100,89.61079162553526,0,1,100,97.74682631882771,100,92.20591386947397,0,1,100,105.0494662479632,100,94.27807682450569,1,1,100,106.12278089269047,100,96.12955086667608,0,1,100,106.05433029565982,100,85.97258243335176,1,1,100,91.90446206257695,100,89.27968883221703,1,1,100,108.26440393553385,100,95.28156635772774,0,1,100,107.5953548629637,100,91.14719415656103,1,1,100,109.53637013313188,100,95.1478078063356,0,1
1,1,0,0,0,1,0,0,1,-0.15177232625647444,0.007609119325448138,0.0,100,104.66156870066405,100,88.53538853903937,1,0,100,100.018158501648,100,99.47540836063502,0,0,100,96.32674293808823,100,92.87943824035517,0,1,100,105.70132612129376,100,89.43681375510056,1,0,100,107.3789084280605,100,97.44931717178889,1,0,100,101.25819194665736,100,94.40117894183676,1,0,100,103.38357420668294,100,90.09555574131208,0,0,100,100.80184414426186,100,88.67421660911607,0,0,100,101.63290461290921,100,87.49435598059551,1,0,100,101.17945698319906,100,91.87554095906181,0,0,100,104.59752381661175,100,99.59716968960173,1,0,100,99.70406472015543,100,93.07549809509568,0,0,100,106.49835800045767,100,92.7657481431373,0,0,100,108.63686097104073,100,93.6204403741903,0,0,100,103.22772731400293,100,95.77176885136129,1,0,100,106.62938084974739,100,94.12982791456787,1,0,100,107.42146179749558,100,89.95686248425154,1,0,100,94.38917708529675,100,81.99036094944779,1,1,100,101.99321389306402,100,86.97425856581431,1,0,100,105.08577403802335,100,97.39360089592091,1,0,100,107.01166528656647,100,92.92577586482356,1,0,100,106.88923469240243,100,91.11189849317162,1,0,100,120.71143564453828,100,86.67057186291918,1,0,100,92.37961937704137,100,93.11650559186035,1,1,100,101.32327695207198,100,90.5963069841169,1,0,100,105.14218735630607,100,90.7224890068404,0,0,100,108.98417213602978,100,97.16357251583597,1,0,100,94.14286742987399,100,94.87645183543503,0,1,100,106.8570126250982,100,90.4111908338788,0,0,100,103.78440356044207,100,89.58637446091555,1,0,100,110.90754255185789,100,94.51848652851626,1,0,100,107.05365386683603,100,88.53617301317146,0,0,100,106.728784552581,100,96.2313279296325,0,0,100,107.55490635325205,100,91.09144372768236,0,0,100,100.49829341138819,100,97.29095711470495,1,0,100,107.63595377801518,100,94.13874302939097,1,0,100,113.78047973612259,100,94.34853777319317,1,0,100,112.93729974379046,100,97.88704306890045,0,0,100,99.09380400823575,100,97.0507582623508,0,1,100,106.86986208375033,100,86.8731776873492,0,0
2,1,0,0,0,1,0,0,1,-0.10237164897013606,-0.13920505279097098,0.0,100,97.87603329253038,100,91.08985247414876,0,1,100,100.044157639184,100,91.59522026145474,0,1,100,103.07231336363584,100,83.18698738870495,1,1,100,108.0305833389238,100,94.24608478638696,1,0,100,100.42674610082626,100,97.52531959577769,0,1,100,104.85617463914392,100,93.56786457319758,0,1,100,100.63492790597157,100,95.48131512326871,0,1,100,94.5708080411888,100,94.18434161527026,1,1,100,117.42596907952878,100,91.41954114413363,1,0,100,107.68006577394986,100,93.90983502114909,1,1,100,102.89238411999682,100,88.5421669363397,0,1,100,112.9803419072678,100,91.86503361535864,0,0,100,103.99179338022266,100,90.07196706971712,0,1,100,90.31358453627365,100,94.7138270801345,0,1,100,109.7896880574995,100,94.95027767352632,1,0,100,111.10993799251644,100,96.20748682333291,1,0,100,97.15790256584081,100,91.91822570353526,1,1,100,111.77464976822469,100,94.89120176523477,1,0,100,100.12683838948848,100,96.23308369036903,1,1,100,90.75254697482701,100,90.0402554705047,1,1,100,101.9673796583938,100,88.16472749582495,1,1,100,102.1545168098143,100,90.91366861985398,0,1,100,97.8287313445538,100,94.33616084354726,0,1,100,106.42198573743555,100,95.07851893094406,1,1,100,103.15900267679572,100,91.81200582167374,1,1,100,105.20158890931948,100,87.69188805967435,0,1,100,97.14992908899495,100,95.60443757280021,0,1,100,102.3675725009909,100,91.65646627630028,0,1,100,106.15581964134853,100,91.46942031843918,0,1,100,105.95359274657321,100,98.499522405605,0,0,100,101.93010609022632,100,91.9986359319455,0,1,100,98.16294914680608,100,87.81882795646182,0,1,100,97.57461353207526,100,89.81932093569756,1,1,100,107.92553715785301,100,86.50234685551055,1,1,100,104.0170319236756,100,97.95048939041324,1,0,100,110.04534003571703,100,91.73462701469998,1,1,100,98.11355912729599,100,90.50809403820716,0,1,100,104.34850521110029,100,90.16527135394477,1,1,100,102.54995242516897,100,92.5938391374443,0,1,100,113.10015524180822,100,93.95747541056276,0,0
3,1,0,0,0,1,0,0,1,-0.0700951731205334,-0.14062401586787232,0.0,100,96.8878026718012,100,88.96335938075673,1,1,100,106.19493311191637,100,85.84929517394394,0,1,100,105.91401879385019,100,92.73342810128409,1,1,100,103.0331875837056,100,88.11873748441458,0,1,100,104.45147147830949,100,87.7514325545878,1,1,100,100.53898654892375,100,87.9273358178056,0,1,100,96.0724318457575,100,93.63152829860763,1,1,100,112.71610379318392,100,85.76036517854145,1,1,100,95.9538248363314,100,91.23572743930052,0,1,100,105.83118432935012,100,93.3774245515921,0,1,100,106.44312457831832,100,90.33300761388435,0,1,100,103.40113211450381,100,94.29249945159368,1,1,100,112.97351812039872,100,99.78035252012253,1,0,100,103.15796535483402,100,89.3550972026787,1,1,100,106.15666160963032,100,93.40554673844603,1,1,100,100.21837503028314,100,87.11524538597496,0,1,100,109.10928584644365,100,91.02675922738396,0,1,100,101.79386433264233,100,87.51124406056434,0,1,100,102.38679777745043,100,91.33887004685855,1,1,100,105.5214456038342,100,94.23620918642685,1,1,100,105.75974696300916,100,99.71165332707449,0,0,100,116.14315136971958,100,97.99316860014767,0,0,100,92.4376831097956,100,93.45075940311108,0,1,100,101.81083940919665,100,87.76617616333317,1,1,100,102.09706183385526,100,97.56555330052349,1,1,100,100.47505973357187,100,90.78403680252976,0,1,100,107.8176819465683,100,94.40488124436465,1,1,100,112.52045185283683,100,89.31655214841236,1,1,100,102.27330931272544,100,94.13288005612884,0,1,100,107.94768760322364,100,86.3340070476709,0,1,100,118.25031453718485,100,89.22341036222369,0,1,100,107.2875112556744,100,92.92767982602763,1,1,100,108.76694946401537,100,90.87609789571414,1,1,100,100.90076476159044,100,88.71930164751697,1,1,100,104.89925749453197,100,93.02146870879959,1,1,100,106.28248463209488,100,94.7044015686842,1,1,100,90.37219357185285,100,91.178209669925,1,1,100,116.76805337085779,100,92.83428370383432,0,0,100,95.87698002068024,100,98.43009284216514,1,1,100,108.4386900742701,100,96.86432715584012,1,0
4,1,0,0,0,1,0,0,1,-0.1704807899616685,-0.04441925028123065,0.0,100,103.77379740739784,100,87.95797193721863,0,0,100,99.65408867019401,100,94.55704396424183,1,1,100,109.40457321015643,100,93.42960696273525,0,0,100,106.74858678142742,100,86.58360359900624,0,0,100,97.26970046426878,100,93.88398384965689,1,1,100,103.28392049165633,100,92.06832493404814,0,0,100,109.08185186270181,100,92.13673769721613,0,0,100,113.96042121543428,100,83.95264068244049,0,0,100,100.03502828081238,100,94.16977602611964,0,1,100,95.84514317382273,100,87.50246350248366,0,1,100,108.89860256946403,100,90.9007621957123,1,0,100,104.68046135131361,100,90.87553298541029,1,0,100,105.04478751711919,100,96.29431699596279,0,0,100,106.11917755450331,100,96.11445462215829,1,0,100,99.85882298701847,100,82.17275514452894,0,1,100,101.87748096806168,100,88.14816451836495,1,1,100,100.5834041343033,100,85.94993539267796,1,1,100,97.01293691127194,100,90.55198527212858,1,1,100,99.48608763816662,100,91.74162219514864,0,1,100,100.8906097894097,100,91.66809703918163,0,1,100,100.85988241087713,100,94.47943186929538,1,1,100,99.24736692000047,100,92.62069140018069,1,1,100,109.16203257864039,100,90.90143819636272,1,0,100,110.6642004121446,100,87.87334318955426,0,0,100,100.62199665041652,100,95.15037650433221,0,1,100,104.29695385697886,100,96.46950436040241,1,0,100,100.41692684107528,100,89.42264809795937,1,1,100,113.94665679069732,100,92.65900213529125,0,0,100,95.4351902791345,100,93.43470457134005,0,1,100,101.13572039439204,100,88.98684433064442,1,1,100,109.43603032352479,100,98.21627572038322,0,0,100,101.47131098563199,100,89.14606859433792,1,1,100,103.94928477403766,100,88.83642700879945,1,0,100,101.19357299483086,100,94.16511315833459,0,1,100,97.26229328372023,100,92.42504429708015,0,1,100,114.58165320474268,100,94.78694654747902,0,0,100,110.55573209002318,100,96.0070922365374,1,0,100,103.23144423826078,100,93.82720329299013,1,0,100,94.03327256227324,100,83.15709128294584,1,1,100,105.53324117985616,100,94.21046432711657,1,0
5,1,0,0,0,1,0,0,1,-0.15363219405418477,-0.23915769366680872,0.0,100,104.73431346879579,100,95.52362889741435,1,1,100,105.46840181875888,100,90.14478923859909,1,1,100,114.93586998383806,100,89.20678591238755,0,1,100,107.79800674084382,100,96.3921986706015,1,0,100,99.14013231518365,100,99.5505132968114,1,1,100,110.02506398928954,100,102.51180529227287,0,0,100,111.97735590837928,100,87.9803961938467,1,1,100,108.50264033763477,100,94.75791660727273,0,0,100,100.41229269082723,100,99.39149799156382,1,1,100,100.37306396549522,100,85.58212793706092,1,1,100,104.02044225623942,100,94.27447020900915,1,1,100,110.2366977116531,100,96.95740188805917,1,0,100,101.4410629617661,100,92.08753521768836,0,1,100,114.08328136881718,100,85.949766041025,1,1,100,114.21990707749984,100,94.9476856019174,1,0,100,96.68586050118708,100,93.50555388598468,0,1,100,107.10103095169517,100,90.91190400614003,1,1,100,105.6557302930913,100,94.0463647446964,0,1,100,104.08181840495428,100,96.61722626823732,0,1,100,96.71785581371722,100,91.46388886885403,1,1,100,104.48577854584398,100,95.3865064231157,0,1,100,95.5678479499062,100,84.4864523726625,0,1,100,96.2690084597693,100,92.38393600052838,0,1,100,113.34768753375997,100,86.69591429221123,1,1,100,106.4342802019166,100,91.61996527841532,0,1,100,108.437191141647,100,98.1367137865488,1,0,100,110.93146307184074,100,90.92975567826979,1,1,100,89.93457466432653,100,100.34122022287049,0,1,100,107.89570313313826,100,95.3132020459109,0,0,100,104.78843732655575,100,87.5510256165731,0,1,100,111.04996229408971,100,94.20608944772192,0,0,100,100.98027372073797,100,92.54079400144859,1,1,100,97.12604952128656,100,89.08635499539145,0,1,100,108.60441228066747,100,93.29828257967573,0,1,100,95.4996247475592,100,91.24611353758145,0,1,100,105.01002242835638,100,90.8189585818857,1,1,100,93.23073070543225,100,102.07294729522243,1,1,100,105.28961627240844,100,86.42674489259784,0,1,100,114.51914964395827,100,93.07977136637933,1,0,100,98.52336276059708,100,89.79681593136866,1,1
6,1,0,0,0,1,0,0,1,-0.16171484452818008,-0.16457461631266496,0.0,100,102.386389064247,100,89.31180154535252,1,1,100,99.74044029144154,100,90.62705444959761,0,1,100,106.99561850052794,100,89.10437473969323,0,1,100,101.1624108036838,100,90.32910343088325,0,1,100,108.1706729367613,100,98.52080003647498,0,0,100,111.72898594037123,100,92.24359320939915,1,0,100,110.5190439263695,100,89.01512583133669,0,1,100,104.08727202437254,100,93.54929516466075,0,1,100,95.79745089311339,100,89.49561245136348,1,1,100,103.24295677210594,100,95.70391430014453,1,1,100,105.38844232877297,100,85.81684168461426,1,1,100,111.16466273796289,100,91.7554343001482,1,0,100,94.97564575682341,100,89.46632289697668,1,1,100,100.23236184194934,100,89.86716808550077,1,1,100,95.29700154005016,100,87.61549575984375,1,1,100,106.94846485319187,100,92.38922626972408,0,1,100,107.73065873688239,100,90.71868325701075,0,1,100,91.00337574701675,100,95.18337809971148,1,1,100,102.90329383390443,100,91.94113949492761,0,1,100,102.26886858543158,100,85.17718677083853,1,1,100,106.68972716045232,100,88.8411852837841,1,1,100,101.44671245838028,100,93.29738671142,1,1,100,110.14410531886726,100,87.81017918621511,0,1,100,103.34315734469787,100,99.44438610284476,0,0,100,107.3570322588643,100,90.46878690487961,1,1,100,106.01909041892775,100,81.25659682429477,0,1,100,104.2188732758712,100,95.2813547586851,1,1,100,102.46975288334724,100,94.58623060783977,1,1,100,105.67163263924226,100,91.68052511905373,0,1,100,113.17411540365109,100,85.55158920990152,0,1,100,112.51354071955251,100,94.82959928126148,1,0,100,100.22813490389353,100,85.2418798806931,0,1,100,105.60304174088947,100,91.7560809383648,1,1,100,96.65849183729053,100,89.87320848203807,1,1,100,95.78408074549938,100,91.87707184112922,0,1,100,98.65377497389917,100,88.08118562450106,0,1,100,107.48831748259242,100,100.61645858049992,1,0,100,99.7784588619793,100,90.17374797015745,1,1,100,106.83668142681663,100,92.62319321745991,1,1,100,104.72497880604337,100,81.03735580717961,1,1
7,1,0,0,0,1,0,0,1,-0.09642430842199408,0.034071865224739706,0.0,100,97.63890642470523,100,96.21659311012273,1,1,100,98.40271423416048,100,92.47093599951788,1,0,100,110.12659573281076,100,92.36869151569972,0,0,100,96.9455422160718,100,96.887672128902,1,1,100,97.65788417023788,100,98.62787868030479,1,1,100,107.13369664423497,100,90.36816464955456,0,0,100,102.91412406188701,100,94.5263088134971,0,0,100,94.80230018581832,100,92.41863334066667,0,1,100,101.78331120334086,100,90.9968789993595,1,0,100,104.53909300932075,100,90.78698726925286,0,0,100,97.93041935558047,100,91.47743266524331,0,0,100,107.27611836781328,100,88.67708808097345,0,0,100,104.25616213961283,100,101.5158941393382,0,0,100,110.99498282487183,100,90.35454714242306,1,0,100,102.41425122704044,100,95.39817241619262,1,0,100,112.55095233506485,100,92.13859112984844,0,0,100,96.85878416785367,100,89.37620667941549,0,0,100,105.05783439335295,100,89.00056954129938,0,0,100,103.51929219336557,100,93.28770048504187,1,0,100,99.63735458353827,100,89.71630793158107,1,0,100,114.16134634820635,100,89.21250534996086,1,0,100,103.24427887721285,100,94.96552204932553,1,0,100,103.86588372213033,100,95.91330942032229,1,0,100,99.44532671309895,100,93.53808035294551,1,0,100,99.9611704622025,100,93.33138690617353,1,0,100,104.23131981759552,100,90.51237950689465,0,0,100,108.01112074204691,100,93.03394513712124,1,0,100,102.33103935829196,100,103.909327276303,1,0,100,99.509659614581,100,93.1318747896575,0,0,100,100.52512641655527,100,99.14089357174713,1,0,100,108.95284020040906,100,90.9402828343715,0,0,100,102.95408642049792,100,97.28802394902735,0,0,100,112.83857776198259,100,96.18425708511548,0,0,100,103.10302998886819,100,92.0983591752511,1,0,100,103.55908370630131,100,91.87076542029071,1,0,100,105.1220113572711,100,85.45303790909446,0,0,100,107.55108061915831,100,87.64442147709812,0,0,100,104.31929322339504,100,99.84808167214202,1,0,100,112.13050543755689,100,95.90136304744354,0,0,100,105.97048364771058,100,87.17577979084366,1,0
8,1,0,0,0,1,0,0,1,-0.0978222819214203,-0.05879111433324756,0.0,100,108.55158685233478,100,88.33889254510855,1,0,100,105.53608222797672,100,93.57618751367299,1,0,100,96.89466797028176,100,96.5998523780478,1,1,100,111.45326294997224,100,98.6971914026818,1,0,100,114.7414371910523,100,85.86019198522379,1,0,100,96.98940290086817,100,91.658826013687,1,1,100,101.33871479193901,100,101.0527291130279,0,0,100,112.79540894939151,100,96.3005916912164,1,0,100,103.03310702124378,100,101.37467525328466,0,0,100,103.24995826369091,100,102.06599394468566,1,0,100,106.19030286189914,100,98.65338491280902,1,0,100,97.25692821976641,100,99.32857550892476,1,1,100,111.85839009816634,100,95.56674276427135,1,0,100,101.79865733156588,100,90.09261654560682,0,1,100,110.42388165047237,100,90.75958054458526,1,0,100,92.09372526423837,100,92.24388355298684,1,1,100,103.31852307210796,100,88.8756957211903,1,1,100,107.92683798693571,100,98.64252882374635,1,0,100,99.89987573141055,100,92.13995198482564,1,1,100,103.08246408953988,100,97.65629342822251,1,0,100,109.2963079596248,100,94.863938944272,1,0,100,110.23516922037929,100,91.3973384758095,1,0,100,104.41249119762075,100,86.38579994277501,1,1,100,96.12205086689453,100,87.65014589536186,1,1,100,95.9715873003635,100,87.59995122779044,0,1,100,103.64120183677875,100,86.71953479229069,0,1,100,99.61548748960313,100,92.15188142690305,0,1,100,106.09740090977238,100,95.28752253164826,1,0,100,104.20646708625712,100,88.91968637509586,0,1,100,106.56985797628887,100,91.06929905203475,0,0,100,101.28513761720693,100,83.9520402214597,1,1,100,98.63795464399416,100,82.98282128253537,1,1,100,98.71559601304686,100,97.23704972553512,0,1,100,98.08974679996824,100,92.88613218080528,1,1,100,106.17618641520633,100,86.06340643421319,1,1,100,105.63379209323296,100,94.54399208427309,1,0,100,110.35718276624178,100,93.85237598958446,1,0,100,104.73564803834675,100,88.97012720995181,1,1,100,104.38304324465294,100,84.10371347583352,0,1,100,96.04109371993937,100,87.06578766400338,1,1
9,1,0,0,0,1,0,0,1,-0.19786414061193336,-0.2004348210278896,0.0,100,101.64759429005115,100,94.11763697053354,1,1,100,107.21712451535471,100,92.73719660969856,0,1,100,113.18532335408301,100,90.35588374305921,1,0,100,99.71974227297666,100,91.33867544440199,0,1,100,98.56456857402213,100,95.74082698675997,0,1,100,109.94144759528149,100,95.45716606903065,0,0,100,90.50995734943383,100,96.34041221647821,0,1,100,109.83605420366517,100,89.01395668542803,0,1,100,108.72561310872447,100,96.79446476447276,1,0,100,108.70719878791782,100,86.36563407580961,0,1,100,98.90902504770148,100,94.33454301743662,0,1,100,104.21139461072924,100,95.97866354039867,1,0,100,101.05697093534732,100,92.9906475350085,0,1,100,106.0804942686171,100,92.23884651489031,0,1,100,95.19640495467681,100,89.68349076816575,0,1,100,99.67643293937046,100,92.88969901490142,1,1,100,92.9847866272422,100,96.69821390950905,0,1,100,108.48081664808575,100,95.4166605485684,0,0,100,102.61066755332659,100,93.82144018149799,1,1,100,108.96237101771155,100,89.1146908849061,0,1,100,103.80667286070874,100,92.11160740007922,1,1,100,100.18997323232537,100,92.68965207723551,1,1,100,113.85839758517277,100,96.88026132477715,1,0,100,104.80961457149218,100,91.74689784000985,0,1,100,107.16479376087892,100,91.03167606859793,1,1,100,106.24788842996463,100,93.38278785446006,1,1,100,92.8883834368071,100,95.99921308296817,0,1,100,108.8205163186296,100,99.1319620485967,1,0,100,103.38457010165284,100,94.19573947180845,1,1,100,108.67191425665592,100,95.69847274763981,0,0,100,105.73335788781291,100,97.69594279679774,1,0,100,105.17253010156647,100,93.79459363640733,0,1,100,98.97952561673432,100,97.57608490924011,0,1,100,103.48625050932323,100,94.20466624515606,0,1,100,100.31811513210766,100,87.03174792024541,0,1,100,102.28855795171384,100,84.20737594008202,1,1,100,95.47622898353659,100,98.90604236291188,1,1,100,109.14833465380183,100,86.2264847071071,1,1,100,102.32057504321462,100,101.32594694149901,1,0,100,95.53203689022847,100,86.89696054478864,0,1
