ID,response,TT,CO2
1,0.5,10.0,100.0
1,0.7310585786300049,10.0,86.95652174
1,0.5,10.0,91.30434783
1,0.5,10.0,95.65217391
1,0.5,10.5,90.0
1,0.5,11.0,90.0
1,0.5,11.5,90.0
2,0.5,10.5,90.0
2,0.5,10.0,100.0
2,0.5,10.0,91.30434783
2,0.5,10.0,86.95652174
2,0.5,10.0,95.65217391
2,0.5,11.5,90.0
2,0.5,11.0,90.0
3,0.5,10.0,91.30434783
3,0.9820137900379085,10.0,86.95652174
3,0.5,10.0,100.0
3,0.5,10.5,90.0
3,0.5,11.0,90.0
3,0.5,11.5,90.0
3,0.5,10.0,95.65217391
4,0.5,11.0,90.0
4,0.7310585786300049,10.0,86.95652174
4,0.5,10.0,91.30434783
4,0.5,10.0,95.65217391
4,0.5,10.0,100.0
4,0.5,10.5,90.0
4,0.5,11.5,90.0
5,0.04742587317756679,10.5,90.0
5,0.5,10.0,100.0
5,0.017986209962091555,11.5,90.0
5,0.5,10.0,95.65217391
5,0.5,10.0,91.30434783
5,0.5,10.0,86.95652174
5,0.017986209962091555,11.0,90.0
6,0.04742587317756679,11.5,90.0
6,0.5,10.0,100.0
6,0.11920292202211755,11.0,90.0
6,0.2689414213699951,10.5,90.0
6,0.5,10.0,95.65217391
6,0.5,10.0,91.30434783
6,0.5,10.0,86.95652174
7,0.5,10.0,95.65217391
7,0.5,10.0,86.95652174
7,0.5,10.0,91.30434783
7,0.5,10.0,100.0
7,0.7310585786300049,10.5,90.0
7,0.7310585786300049,11.0,90.0
7,0.5,11.5,90.0
8,0.5,10.0,86.95652174
8,0.5,10.0,95.65217391
8,0.5,10.0,100.0
8,0.11920292202211755,10.5,90.0
8,0.11920292202211755,11.0,90.0
8,0.5,10.0,91.30434783
8,0.11920292202211755,11.5,90.0
9,0.5,10.0,100.0
9,0.5,11.0,90.0
9,0.5,11.5,90.0
9,0.5,10.0,91.30434783
9,0.7310585786300049,10.0,86.95652174
9,0.5,10.5,90.0
9,0.5,10.0,95.65217391
10,0.5,10.0,100.0
10,0.5,10.0,91.30434783
10,0.5,10.0,95.65217391
10,0.017986209962091555,11.0,90.0
10,0.04742587317756679,10.5,90.0
10,0.7310585786300049,10.0,86.95652174
10,0.017986209962091555,11.5,90.0
11,0.5,10.0,86.95652174
11,0.5,10.0,91.30434783
11,0.5,10.0,95.65217391
11,0.5,10.0,100.0
11,0.5,10.5,90.0
11,0.2689414213699951,11.0,90.0
11,0.11920292202211755,11.5,90.0
12,0.5,10.0,91.30434783
12,0.5,11.5,90.0
12,0.5,10.0,100.0
12,0.5,10.0,86.95652174
12,0.5,11.0,90.0
12,0.5,10.0,95.65217391
